run,split,metric,uncalibrated,calibrated,delta
fusion_exp03_perlang,val,nll,1.0416601896,0.6370528340,-0.4046073556
fusion_exp03_perlang,val,brier,0.3775109649,0.3298748136,-0.0476361513
fusion_exp03_perlang,val,ece,0.1620861353,0.0677969248,-0.0942892105
fusion_exp03_perlang,test,nll,1.3451137543,0.8076855540,-0.5374282002
fusion_exp03_perlang,test,brier,0.5042997003,0.4293542206,-0.0749454796
fusion_exp03_perlang,test,ece,0.2140022696,0.0562346304,-0.1577676392
fusion_exp03_vector,val,nll,1.0416601896,0.5504540205,-0.4912061691
fusion_exp03_vector,val,brier,0.3775109649,0.2983737886,-0.0791371763
fusion_exp03_vector,val,ece,0.1620861353,0.0347449335,-0.1273412018
fusion_exp03_vector,test,nll,1.3451137543,0.9657129645,-0.3794007897
fusion_exp03_vector,test,brier,0.5042997003,0.4639591277,-0.0403405726
fusion_exp03_vector,test,ece,0.2140022696,0.1296509823,-0.0843512873
